,year,type,activity,sex,age,fatal_y_n,time,species,latitude,longitude
0,2023.0,Unprovoked,Surfing,M,Middle-aged Adult,Y,Morning,White shark,-30.5343665,135.6301212
1,2023.0,Unprovoked,Swimming,M,Others,N,Morning,Other,-25.2303005,121.0187246
2,2022.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Morning,Bull shark,-25.2303005,121.0187246
3,2021.0,Unprovoked,Surfing,M,Young Adult,N,Other,Other,27.7567667,-81.4639835
4,2021.0,Unprovoked,Swimming,M,Others,N,Noon,Other,27.7567667,-81.4639835
5,2021.0,Unprovoked,Swimming,M,Young Adult,N,Other,5' shark,33.6874388,-80.4363743
6,2021.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,19.593801499999998,-155.42837009716908
7,2021.0,Unprovoked,Spearfishing,M,Middle-aged Adult,Y,Morning,Other,18.220038199999998,-78.13312138505289
8,2021.0,Unprovoked,Other,F,Teenager,N,Morning,Other,27.7567667,-81.4639835
9,2021.0,Unprovoked,Swimming,F,Middle-aged Adult,N,Morning,Other,-25.2303005,121.0187246
10,2020.0,Unprovoked,Swimming,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
11,2020.0,Unprovoked,Spearfishing,M,Senior,N,Noon,Other,-22.1646782,144.5844903
12,2020.0,Unprovoked,Snorkeling,F,Others,N,Noon,Other,17.789187,-64.7080574
13,2020.0,Unprovoked,Surfing,M,Senior,N,Morning,White shark,-38.00353045,175.95782102762962
14,2019.0,Unprovoked,Spearfishing,M,Young Adult,Y,Noon,Other,-10.0,148.0
15,2019.0,Provoked,Other,M,Child,N,Other,Other,-17.533306000000003,-149.83860061183017
16,2019.0,Unprovoked,Surfing,F,Young Adult,N,Noon,Other,27.7567667,-81.4639835
17,2019.0,Unprovoked,Other,M,Middle-aged Adult,N,Other,Other,27.7567667,-81.4639835
18,2019.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,-31.8759835,147.2869493
19,2019.0,Invalid,Boogie boarding,F,Teenager,N,Other,Other,-43.586562,171.21232939964904
20,2018.0,Unprovoked,Surfing,F,Others,N,Other,Other,27.7567667,-81.4639835
21,2018.0,Provoked,Other,F,Child,N,Other,Other,27.0,107.0
22,2018.0,Watercraft,Other,F,Senior,N,Evening,White shark,36.7014631,-118.755997
24,2017.0,Unprovoked,Surfing,F,Teenager,N,Noon,Other,-32.2171831,26.6386401
25,2017.0,Unprovoked,Surfing,M,Teenager,N,Morning,Other,27.7567667,-81.4639835
27,2017.0,Unprovoked,Swimming,M,Senior,N,Noon,Other,-22.1646782,144.5844903
28,2016.0,Unprovoked,Snorkeling,F,Others,N,Other,Other,-25.2303005,121.0187246
29,2016.0,Unprovoked,Other,M,Middle-aged Adult,Y,Noon,Other,-20.1472512,164.12375677974939
30,2016.0,Unprovoked,Swimming,M,Others,N,Other,Other,33.6874388,-80.4363743
31,2016.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Other,White shark,-33.546977,20.72753
32,2016.0,Unprovoked,Swimming,M,Child,N,Noon,Wobbegong shark,-31.8759835,147.2869493
33,2016.0,Unprovoked,Spearfishing,M,Young Adult,N,Morning,Other,-22.1646782,144.5844903
36,2015.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,19.593801499999998,-155.42837009716908
37,2015.0,Unprovoked,Body boarding,M,Young Adult,N,Morning,White shark,-31.8759835,147.2869493
38,2015.0,Unprovoked,Swimming,M,Child,N,Noon,Other,27.7567667,-81.4639835
39,2015.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,Other,-20.9354584,55.2916763
40,2015.0,Unprovoked,Other,M,Teenager,N,Other,Other,-31.8759835,147.2869493
41,2014.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,-25.2303005,121.0187246
42,2014.0,Provoked,Surfing,M,Young Adult,N,Evening,Other,-31.8759835,147.2869493
43,2014.0,Unprovoked,Other,F,Child,N,Other,Other,33.6874388,-80.4363743
44,2014.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,36.7014631,-118.755997
45,2014.0,Unprovoked,Surfing,M,Young Adult,N,Noon,White shark,-33.546977,20.72753
46,2014.0,Unprovoked,Spearfishing,M,Middle-aged Adult,N,Noon,Other,26.3918096,-77.1370018
47,2014.0,Unprovoked,Surfing,M,Others,N,Other,Other,-31.8759835,147.2869493
48,2014.0,Provoked,Fishing,M,Others,N,Other,Other,-31.8759835,147.2869493
49,2013.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,43.9792797,-120.737257
50,2013.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
51,2013.0,Unprovoked,Swimming,M,Young Adult,N,Noon,Other,19.593801499999998,-155.42837009716908
53,2013.0,Unprovoked,Snorkeling,F,Others,N,Other,Other,-27.565088199999998,-48.51768842724714
54,2013.0,Unprovoked,Spearfishing,M,Senior,Y,Morning,Other,18.047173700000002,-77.03338518903325
55,2013.0,Unprovoked,Other,M,Others,N,Other,Other,11.0798978,120.93734215474105
56,2012.0,Unprovoked,Surfing,M,Teenager,N,Evening,Other,27.7567667,-81.4639835
57,2012.0,Unprovoked,Boogie boarding,F,Child,N,Evening,Other,27.7567667,-81.4639835
58,2012.0,Unprovoked,Surfing,M,Young Adult,N,Noon,Other,-25.2303005,121.0187246
59,2012.0,Provoked,Fishing,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
60,2012.0,Unprovoked,Surfing,F,Child,N,Other,Other,27.7567667,-81.4639835
61,2012.0,Provoked,Other,F,Young Adult,N,Morning,Other,-36.5986096,144.6780052
62,2012.0,Provoked,Other,M,Others,N,Noon,Other,27.7567667,-81.4639835
63,2011.0,Unprovoked,Surfing,M,Teenager,N,Morning,6' shark,27.7567667,-81.4639835
64,2011.0,Unprovoked,Surfing,M,Young Adult,N,Other,White shark,-33.546977,20.72753
65,2011.0,Unprovoked,Surf fishing,M,Middle-aged Adult,N,Other,Other,-32.2171831,26.6386401
66,2010.0,Unprovoked,Other,M,Middle-aged Adult,Y,Noon,Other,27.7567667,-81.4639835
67,2009.0,Unprovoked,Wading,M,Young Adult,N,Morning,Other,-32.2171831,26.6386401
68,2009.0,Unprovoked,Spearfishing,M,Teenager,N,Morning,Other,-22.1646782,144.5844903
69,2009.0,Unprovoked,Spearfishing,M,Others,N,Other,Other,-22.779116,34.5661741
70,2009.0,Unprovoked,Surfing,M,Young Adult,Y,Noon,White shark,-33.546977,20.72753
71,2009.0,Unprovoked,Other,M,Others,Y,Other,Other,-4.05052,39.667169
72,2009.0,Unprovoked,Other,M,Others,N,Morning,5' shark,36.7014631,-118.755997
73,2009.0,Unprovoked,Surfing,M,Others,N,Morning,Other,36.7014631,-118.755997
75,2008.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-36.5986096,144.6780052
76,2008.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,-8.4116316,-37.5919699
78,2008.0,Unprovoked,Surfing,M,Young Adult,N,Morning,White shark,36.7014631,-118.755997
80,2007.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-31.8759835,147.2869493
81,2007.0,Unprovoked,Surfing,F,Others,N,Other,4' shark,27.7567667,-81.4639835
82,2007.0,Unprovoked,Surfing,M,Young Adult,N,Other,3' shark,27.7567667,-81.4639835
83,2007.0,Unprovoked,Swimming,M,Senior,N,Morning,Other,27.7567667,-81.4639835
86,2005.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,-32.2171831,26.6386401
87,2005.0,Unprovoked,Scuba diving,M,Young Adult,Y,Noon,White shark,-30.5343665,135.6301212
88,2005.0,Unprovoked,Snorkeling,M,Young Adult,Y,Noon,Other,-25.2303005,121.0187246
89,2005.0,Unprovoked,Swimming,M,Teenager,N,Other,Bull shark,-22.1646782,144.5844903
90,2002.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
91,2001.0,Provoked,Spearfishing,M,Middle-aged Adult,N,Morning,Other,36.7014631,-118.755997
93,2000.0,Unprovoked,Surfing,F,Young Adult,N,Noon,Other,27.7567667,-81.4639835
94,2000.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,-21.341298,55.4776174
95,2000.0,Unprovoked,Swimming,M,Middle-aged Adult,N,Noon,Other,27.7567667,-81.4639835
96,2000.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
98,2000.0,Unprovoked,Surfing,M,Teenager,N,Other,Other,35.6729639,-79.0392919
99,2000.0,Unprovoked,Spearfishing,M,Young Adult,Y,Other,Other,-20.1472512,164.12375677974939
100,2000.0,Provoked,Other,M,Others,N,Other,Other,52.2109495,-2.156955513242221
101,2000.0,Unprovoked,Diving,M,Young Adult,Y,Other,Other,8.5058295,98.5680335
102,1999.0,Unprovoked,Body surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
103,1998.0,Unprovoked,Surfing,M,Others,N,Other,Other,27.7567667,-81.4639835
104,1998.0,Unprovoked,Swimming,F,Teenager,N,Noon,Other,27.7567667,-81.4639835
105,1996.0,Unprovoked,Standing,M,Child,N,Evening,Other,27.7567667,-81.4639835
106,1996.0,Unprovoked,Other,M,Young Adult,Y,Morning,Other,35.6518079,139.73243752018243
107,1995.0,Unprovoked,Other,M,Others,N,Other,Other,-22.1646782,144.5844903
108,1995.0,Unprovoked,Boogie boarding,M,Teenager,N,Other,Other,27.7567667,-81.4639835
110,1995.0,Unprovoked,Other,M,Teenager,N,Other,Other,32.3293809,-83.1137366
111,1995.0,Provoked,Snorkeling,M,Others,N,Other,Other,-22.1646782,144.5844903
114,1993.0,Unprovoked,Surfing,M,Others,Y,Other,Other,19.593801499999998,-155.42837009716908
116,1993.0,Unprovoked,Body boarding,M,Teenager,N,Other,Other,-21.0006099,55.2771585
117,1993.0,Unprovoked,Surfing,M,Others,N,Other,Other,-8.4116316,-37.5919699
118,1993.0,Unprovoked,Other,M,Young Adult,N,Noon,Other,27.7567667,-81.4639835
119,1992.0,Unprovoked,Surfing,M,Young Adult,N,Evening,Other,43.9792797,-120.737257
120,1992.0,Unprovoked,Swimming,M,Others,Y,Other,Other,-8.4116316,-37.5919699
121,1992.0,Unprovoked,Fishing,M,Others,N,Other,Other,52.0532871,4.5425013
122,1991.0,Provoked,Fishing,M,Others,N,Noon,Other,27.7567667,-81.4639835
123,1991.0,Unprovoked,Surfing,M,Young Adult,N,Morning,Other,36.7014631,-118.755997
124,1990.0,Unprovoked,Surfing,M,Teenager,N,Noon,Other,27.7567667,-81.4639835
125,1990.0,Unprovoked,Surfing,M,Middle-aged Adult,N,Noon,Other,19.593801499999998,-155.42837009716908
126,1989.0,Unprovoked,Other,M,Others,N,Other,Other,19.593801499999998,-155.42837009716908
